,blueWins,blueWardsPlaced,blueKills,blueDeaths,blueAssists,blueTotalGold,blueTotalMinionsKilled
0,0,28,9,6,11,17210,195
1,0,12,5,5,5,14712,174
2,0,15,7,11,4,16113,186
3,0,43,4,5,5,15157,201
4,0,75,6,6,6,16400,210
5,1,18,5,3,6,15899,225
6,1,18,7,6,7,16874,225
7,0,16,5,13,3,15305,209
8,0,16,7,7,8,16401,189
9,1,13,4,5,5,15057,220
10,0,20,4,4,6,15474,231
11,0,33,11,11,7,16695,157
12,1,18,7,1,11,17865,238
13,0,14,4,9,1,14979,210
14,1,15,4,4,4,15722,224
15,0,17,3,7,3,15015,209
16,1,14,10,2,8,19733,263
17,0,43,3,7,3,14852,203
18,1,21,5,4,11,16282,213
19,0,11,5,9,5,14994,188
20,1,14,11,6,15,18606,214
21,0,13,4,13,5,15878,203
22,0,17,4,6,3,15773,238
23,0,78,4,3,4,15906,238
24,1,33,6,9,10,16515,208
25,0,17,4,8,4,15415,204
26,1,18,8,6,9,17178,209
27,0,19,7,4,9,17226,228
28,0,105,8,6,13,17474,217
29,0,18,3,8,2,14905,233
30,1,22,9,4,10,18132,228
31,1,17,5,2,6,16053,218
32,0,12,6,4,7,16438,203
33,0,15,5,4,4,15634,201
34,1,40,6,4,4,16085,204
35,0,24,3,4,6,14981,235
36,0,12,2,8,2,15421,217
37,0,20,5,6,4,15665,203
38,0,11,7,9,5,17528,234
39,0,18,3,6,3,15032,213
40,0,28,4,11,3,15483,222
41,1,36,10,6,12,19226,231
42,1,18,9,6,14,16945,204
43,1,12,5,5,3,15000,233
44,0,18,3,4,2,15888,252
45,0,41,1,10,0,12925,187
46,1,14,11,2,9,19250,251
47,1,19,8,4,5,18355,218
48,1,15,2,3,2,13978,180
49,0,16,5,5,8,15851,206
50,0,14,7,9,5,16474,209
51,1,18,6,8,6,16590,213
52,1,22,5,2,2,15737,217
53,1,37,5,3,5,16990,248
54,0,14,3,3,2,15297,246
55,0,16,4,10,4,15651,224
56,0,17,5,7,7,15587,181
57,1,19,10,6,11,17777,213
58,1,29,7,5,5,16426,222
59,0,12,10,7,11,20278,236
60,0,18,2,7,0,13791,191
61,0,24,6,7,5,16505,208
62,1,18,6,4,4,17277,229
63,1,122,9,1,10,18269,229
64,0,12,4,10,3,14166,203
65,0,52,6,12,7,15456,188
66,0,19,4,5,2,15180,210
67,0,32,7,8,8,16179,212
68,1,14,3,5,3,16026,233
69,0,19,4,5,4,14850,198
70,0,16,9,8,7,17347,202
71,1,36,5,4,6,15887,200
72,0,18,8,2,11,17399,232
73,0,13,2,7,1,13828,204
74,1,15,6,4,4,16645,242
75,1,50,6,4,8,16248,200
76,0,14,4,6,1,15310,221
77,1,17,8,4,7,16784,212
78,1,18,13,9,18,19032,232
79,0,17,7,6,12,17518,242
80,0,43,11,4,12,18976,256
81,0,12,6,6,10,16143,204
82,0,20,7,8,6,15868,199
83,1,18,9,8,7,17977,235
84,1,16,10,10,14,18138,208
85,1,14,7,2,12,18025,261
86,0,12,1,6,0,14625,241
87,1,16,5,8,7,15752,201
88,1,15,10,4,12,18480,232
89,0,13,3,10,2,14995,210
90,0,83,7,11,3,15655,194
91,0,17,3,5,2,15562,236
92,1,16,9,2,5,17139,223
93,1,14,7,7,6,19229,257
94,0,14,7,7,10,16972,209
95,0,17,5,10,6,16249,213
96,1,16,5,4,9,16415,247
97,1,40,6,8,10,18012,250
98,1,16,11,6,11,19294,242
99,0,16,5,8,4,15383,227
100,0,16,6,8,2,15777,224
101,0,14,4,6,4,14805,209
102,0,13,6,7,2,15244,199
103,0,18,8,3,7,17574,252
104,0,24,8,11,9,16655,222
105,0,12,6,4,8,16855,248
106,1,17,6,14,4,15786,200
107,0,19,3,5,1,15143,233
108,1,12,9,5,9,17309,221
109,1,14,6,4,6,16416,211
110,1,19,2,7,2,15222,231
111,0,16,5,10,3,15526,232
112,1,18,12,9,10,17597,143
113,0,17,9,17,17,16834,187
114,1,32,12,6,12,19058,202
115,0,16,7,9,5,16806,228
116,1,19,7,10,7,16643,227
117,1,14,6,4,12,16189,224
118,0,12,2,6,1,14095,196
119,0,30,5,5,7,16804,217
120,0,18,8,8,8,17305,229
121,0,14,3,9,2,14539,213
122,1,14,9,8,10,17530,192
123,1,13,10,7,10,18431,207
124,0,16,3,10,2,14032,193
125,1,38,9,7,11,17869,205
126,1,40,7,14,6,15974,183
127,1,18,5,3,6,16108,240
128,0,40,6,7,6,16302,212
129,1,18,7,5,6,16750,215
130,1,17,7,1,8,16506,226
131,1,15,6,3,11,16389,241
132,1,18,4,4,4,15760,215
133,1,43,4,7,4,15176,226
134,0,13,5,7,4,15196,191
135,1,13,6,9,2,16250,228
136,1,20,9,7,15,16541,199
137,1,15,12,4,9,18657,227
138,1,17,5,5,6,16873,223
139,0,28,3,4,3,14383,211
140,0,12,4,9,5,14420,192
141,0,87,4,15,4,14720,183
142,1,15,7,6,7,17406,251
143,0,15,5,7,2,15210,172
144,1,23,10,5,16,17272,192
145,1,18,12,4,15,19358,206
146,1,16,4,11,5,16855,232
147,0,16,3,8,4,15209,191
148,1,17,13,9,22,19542,207
149,0,15,4,3,4,15267,232
150,0,15,3,1,3,15243,224
151,0,21,8,8,3,16214,203
152,0,70,8,6,12,15976,178
153,0,18,6,7,10,16557,230
154,0,10,6,14,3,16142,198
155,0,15,7,11,9,17984,230
156,1,15,13,5,10,20038,222
157,1,91,10,5,13,19571,213
158,0,18,3,10,4,14557,200
159,1,16,6,6,5,16029,205
160,1,18,7,6,8,18053,207
161,1,16,9,5,9,18098,225
162,1,13,8,3,9,18343,235
163,1,13,5,6,4,15596,198
164,0,54,4,2,6,15812,229
165,1,17,6,6,10,15947,221
166,0,35,5,9,5,14997,196
167,0,10,7,7,5,16463,215
168,0,19,6,7,7,16072,225
169,1,22,7,3,6,19140,253
170,0,19,4,6,1,14547,188
171,1,14,5,4,7,15644,188
172,0,15,5,5,5,15734,213
173,1,38,5,5,6,16794,229
174,0,16,6,11,8,15930,200
175,1,17,6,6,6,16936,240
176,1,18,9,5,9,17941,230
177,0,19,2,8,4,13698,222
178,1,14,5,4,3,15943,238
179,1,17,4,8,6,15891,222
180,0,12,5,6,5,16216,211
181,0,86,3,5,3,14754,186
182,1,16,8,2,5,16909,229
183,1,15,10,2,11,18858,218
184,0,22,6,7,7,15952,180
185,0,16,1,5,2,13286,187
186,0,17,6,6,9,16812,269
187,1,16,9,7,13,17906,178
188,0,15,4,3,2,16408,263
189,0,14,4,12,5,15056,198
190,0,25,6,6,11,17831,240
191,0,11,1,5,1,13738,223
192,1,25,14,3,15,20317,212
193,0,15,0,5,0,14091,233
194,0,17,6,11,4,16036,191
195,1,17,6,6,5,17052,210
196,0,14,4,7,6,16354,268
197,1,18,10,5,8,18297,242
198,0,17,6,8,5,15748,222
199,1,42,8,5,10,17886,229
200,0,17,11,8,15,17069,174
201,1,15,4,4,4,16631,252
202,0,12,1,5,3,14766,231
203,0,14,8,7,3,17113,234
204,0,13,5,14,6,15120,167
205,0,13,4,6,6,15339,221
206,0,68,1,14,1,13438,174
207,1,20,4,9,3,15582,212
208,1,16,5,5,7,15441,201
209,0,12,4,2,2,16002,245
210,0,13,5,5,8,16009,220
211,1,16,12,9,15,18106,186
212,1,35,6,2,9,16501,221
213,0,14,3,8,3,15505,227
214,1,35,5,5,3,16195,244
215,1,18,14,5,12,20294,230
216,0,22,5,7,3,15475,198
217,0,124,5,4,6,16243,225
218,1,18,3,7,2,15065,231
219,1,22,1,2,3,14359,228
220,1,13,11,4,8,19377,233
221,0,34,2,7,2,14135,220
222,1,24,8,4,8,17448,242
223,0,50,6,3,9,15958,213
224,0,16,10,5,13,18287,213
225,0,13,2,5,2,15534,252
226,0,33,2,5,2,14935,230
227,1,13,12,4,11,19331,255
228,1,17,8,6,7,17131,240
229,1,78,9,3,10,17983,230
230,0,16,5,6,5,16842,221
231,0,22,9,6,13,17569,212
232,0,15,5,5,3,15882,241
233,0,19,9,3,8,17049,202
234,0,40,1,7,1,13556,200
235,0,13,1,3,1,14692,227
236,1,15,8,7,10,17000,204
237,1,31,6,4,7,17200,235
238,0,44,5,7,2,15409,217
239,0,27,10,12,13,17283,184
240,0,16,5,9,5,15477,173
241,1,54,6,1,8,16763,224
242,1,13,9,5,4,18434,223
243,0,17,1,6,2,13731,218
244,1,14,5,6,6,17251,233
245,1,12,7,6,5,17051,246
246,0,14,7,7,6,16346,209
247,1,24,14,4,14,21095,249
248,1,14,6,4,3,16434,228
249,0,36,4,11,2,15834,197
250,1,40,8,9,9,16968,214
251,0,19,5,7,7,15949,209
252,1,17,5,7,3,16056,234
253,1,27,10,6,8,18392,222
254,1,17,6,2,9,16415,230
255,1,18,14,4,21,19948,220
256,1,13,9,4,6,18189,220
257,1,15,3,8,4,14398,194
258,1,22,6,0,8,17359,265
259,0,19,4,7,3,15817,210
260,0,12,3,5,3,15861,270
261,1,16,7,3,7,16355,238
262,1,57,11,9,13,18333,225
263,0,10,2,11,3,14562,196
264,1,18,11,6,13,19677,236
265,1,18,11,7,14,18793,217
266,0,22,4,12,0,14276,190
267,0,18,4,1,4,16808,227
268,0,15,3,9,3,15002,217
269,0,16,4,9,5,14354,173
270,1,11,5,6,6,15926,223
271,0,18,3,5,5,14742,241
272,1,18,6,10,8,16481,201
273,0,39,9,8,5,16307,194
274,1,39,6,2,3,16569,238
275,1,17,5,3,5,17322,229
276,0,18,3,8,2,14711,222
277,1,21,3,5,3,16009,268
278,0,14,5,10,4,15102,196
279,0,40,6,9,5,15499,222
280,1,37,10,4,10,18456,218
281,0,13,5,2,5,15767,224
282,1,16,11,5,12,18890,223
283,0,15,4,8,3,14901,209
284,1,18,6,3,7,16785,245
285,1,37,10,5,15,18786,235
286,0,16,1,10,2,14727,219
287,1,35,10,5,14,18009,200
288,0,16,1,4,2,14526,224
289,0,15,8,6,8,16627,212
290,0,14,1,6,1,13075,169
291,0,16,5,11,4,16105,214
292,0,15,3,4,6,14782,213
293,1,13,5,3,4,15889,217
294,0,18,2,5,3,15158,250
295,0,16,3,3,4,15073,227
296,0,19,7,8,5,17125,240
297,0,17,6,9,6,16377,209
298,0,20,4,6,4,15888,234
299,0,16,2,3,3,14414,226
300,0,34,10,9,9,18329,219
301,0,16,6,7,10,16245,215
302,1,15,3,4,2,16120,223
303,0,10,5,7,8,15548,191
304,1,19,8,2,12,17432,209
305,1,18,9,7,10,16922,207
306,0,29,5,2,5,16142,245
307,0,14,2,8,2,14630,211
308,1,15,2,4,1,15131,239
309,0,12,8,5,7,17697,203
310,0,15,4,3,5,16116,244
311,1,18,10,7,9,18485,228
312,1,15,6,3,4,16980,241
313,1,14,5,4,6,17066,236
314,0,14,8,8,9,17202,214
315,0,15,1,8,2,14702,214
316,1,14,13,7,11,18692,238
317,0,16,11,13,13,18549,182
318,1,15,4,5,3,15859,242
319,1,15,4,9,5,16044,224
320,1,17,8,11,6,15941,180
321,0,23,5,9,4,15675,229
322,1,15,4,7,2,15682,234
323,1,56,7,8,7,15843,190
324,1,16,12,3,11,18248,201
325,1,13,4,7,3,15333,201
326,1,17,8,4,10,17496,246
327,1,14,12,8,15,19809,221
328,1,21,13,3,9,19329,246
329,0,22,5,9,2,15600,193
