blueWins,blueWardsPlaced,blueKills,blueDeaths,blueAssists,blueTotalGold,blueTotalMinionsKilled
0,28,9,6,11,17210,195
0,12,5,5,5,14712,174
0,15,7,11,4,16113,186
0,43,4,5,5,15157,201
0,75,6,6,6,16400,210
1,18,5,3,6,15899,225
1,18,7,6,7,16874,225
0,16,5,13,3,15305,209
0,16,7,7,8,16401,189
1,13,4,5,5,15057,220
0,20,4,4,6,15474,231
0,33,11,11,7,16695,157
1,18,7,1,11,17865,238
0,14,4,9,1,14979,210
1,15,4,4,4,15722,224
0,17,3,7,3,15015,209
1,14,10,2,8,19733,263
0,43,3,7,3,14852,203
1,21,5,4,11,16282,213
0,11,5,9,5,14994,188
1,14,11,6,15,18606,214
0,13,4,13,5,15878,203
0,17,4,6,3,15773,238
0,78,4,3,4,15906,238
1,33,6,9,10,16515,208
0,17,4,8,4,15415,204
1,18,8,6,9,17178,209
0,19,7,4,9,17226,228
0,105,8,6,13,17474,217
0,18,3,8,2,14905,233
1,22,9,4,10,18132,228
1,17,5,2,6,16053,218
0,12,6,4,7,16438,203
0,15,5,4,4,15634,201
1,40,6,4,4,16085,204
0,24,3,4,6,14981,235
0,12,2,8,2,15421,217
0,20,5,6,4,15665,203
0,11,7,9,5,17528,234
0,18,3,6,3,15032,213
0,28,4,11,3,15483,222
1,36,10,6,12,19226,231
1,18,9,6,14,16945,204
1,12,5,5,3,15000,233
0,18,3,4,2,15888,252
0,41,1,10,0,12925,187
1,14,11,2,9,19250,251
1,19,8,4,5,18355,218
1,15,2,3,2,13978,180
0,16,5,5,8,15851,206
0,14,7,9,5,16474,209
1,18,6,8,6,16590,213
1,22,5,2,2,15737,217
1,37,5,3,5,16990,248
0,14,3,3,2,15297,246
0,16,4,10,4,15651,224
0,17,5,7,7,15587,181
1,19,10,6,11,17777,213
1,29,7,5,5,16426,222
0,12,10,7,11,20278,236
0,18,2,7,0,13791,191
0,24,6,7,5,16505,208
1,18,6,4,4,17277,229
1,122,9,1,10,18269,229
0,12,4,10,3,14166,203
0,52,6,12,7,15456,188
0,19,4,5,2,15180,210
0,32,7,8,8,16179,212
1,14,3,5,3,16026,233
0,19,4,5,4,14850,198
0,16,9,8,7,17347,202
1,36,5,4,6,15887,200
0,18,8,2,11,17399,232
0,13,2,7,1,13828,204
1,15,6,4,4,16645,242
1,50,6,4,8,16248,200
0,14,4,6,1,15310,221
1,17,8,4,7,16784,212
1,18,13,9,18,19032,232
0,17,7,6,12,17518,242
0,43,11,4,12,18976,256
0,12,6,6,10,16143,204
0,20,7,8,6,15868,199
1,18,9,8,7,17977,235
1,16,10,10,14,18138,208
1,14,7,2,12,18025,261
0,12,1,6,0,14625,241
1,16,5,8,7,15752,201
1,15,10,4,12,18480,232
0,13,3,10,2,14995,210
0,83,7,11,3,15655,194
0,17,3,5,2,15562,236
1,16,9,2,5,17139,223
1,14,7,7,6,19229,257
0,14,7,7,10,16972,209
0,17,5,10,6,16249,213
1,16,5,4,9,16415,247
1,40,6,8,10,18012,250
1,16,11,6,11,19294,242
0,16,5,8,4,15383,227
0,16,6,8,2,15777,224
0,14,4,6,4,14805,209
0,13,6,7,2,15244,199
0,18,8,3,7,17574,252
0,24,8,11,9,16655,222
0,12,6,4,8,16855,248
1,17,6,14,4,15786,200
0,19,3,5,1,15143,233
1,12,9,5,9,17309,221
1,14,6,4,6,16416,211
1,19,2,7,2,15222,231
0,16,5,10,3,15526,232
1,18,12,9,10,17597,143
0,17,9,17,17,16834,187
1,32,12,6,12,19058,202
0,16,7,9,5,16806,228
1,19,7,10,7,16643,227
1,14,6,4,12,16189,224
0,12,2,6,1,14095,196
0,30,5,5,7,16804,217
0,18,8,8,8,17305,229
0,14,3,9,2,14539,213
1,14,9,8,10,17530,192
1,13,10,7,10,18431,207
0,16,3,10,2,14032,193
1,38,9,7,11,17869,205
1,40,7,14,6,15974,183
1,18,5,3,6,16108,240
0,40,6,7,6,16302,212
1,18,7,5,6,16750,215
1,17,7,1,8,16506,226
1,15,6,3,11,16389,241
1,18,4,4,4,15760,215
1,43,4,7,4,15176,226
0,13,5,7,4,15196,191
1,13,6,9,2,16250,228
1,20,9,7,15,16541,199
1,15,12,4,9,18657,227
1,17,5,5,6,16873,223
0,28,3,4,3,14383,211
0,12,4,9,5,14420,192
0,87,4,15,4,14720,183
1,15,7,6,7,17406,251
0,15,5,7,2,15210,172
1,23,10,5,16,17272,192
1,18,12,4,15,19358,206
1,16,4,11,5,16855,232
0,16,3,8,4,15209,191
1,17,13,9,22,19542,207
0,15,4,3,4,15267,232
0,15,3,1,3,15243,224
0,21,8,8,3,16214,203
0,70,8,6,12,15976,178
0,18,6,7,10,16557,230
0,10,6,14,3,16142,198
0,15,7,11,9,17984,230
1,15,13,5,10,20038,222
1,91,10,5,13,19571,213
0,18,3,10,4,14557,200
1,16,6,6,5,16029,205
1,18,7,6,8,18053,207
1,16,9,5,9,18098,225
1,13,8,3,9,18343,235
1,13,5,6,4,15596,198
0,54,4,2,6,15812,229
1,17,6,6,10,15947,221
0,35,5,9,5,14997,196
0,10,7,7,5,16463,215
0,19,6,7,7,16072,225
1,22,7,3,6,19140,253
0,19,4,6,1,14547,188
1,14,5,4,7,15644,188
0,15,5,5,5,15734,213
1,38,5,5,6,16794,229
0,16,6,11,8,15930,200
1,17,6,6,6,16936,240
1,18,9,5,9,17941,230
0,19,2,8,4,13698,222
1,14,5,4,3,15943,238
1,17,4,8,6,15891,222
0,12,5,6,5,16216,211
0,86,3,5,3,14754,186
1,16,8,2,5,16909,229
1,15,10,2,11,18858,218
0,22,6,7,7,15952,180
0,16,1,5,2,13286,187
0,17,6,6,9,16812,269
1,16,9,7,13,17906,178
0,15,4,3,2,16408,263
0,14,4,12,5,15056,198
0,25,6,6,11,17831,240
0,11,1,5,1,13738,223
1,25,14,3,15,20317,212
0,15,0,5,0,14091,233
0,17,6,11,4,16036,191
1,17,6,6,5,17052,210
0,14,4,7,6,16354,268
1,18,10,5,8,18297,242
0,17,6,8,5,15748,222
1,42,8,5,10,17886,229
0,17,11,8,15,17069,174
1,15,4,4,4,16631,252
0,12,1,5,3,14766,231
0,14,8,7,3,17113,234
0,13,5,14,6,15120,167
0,13,4,6,6,15339,221
0,68,1,14,1,13438,174
1,20,4,9,3,15582,212
1,16,5,5,7,15441,201
0,12,4,2,2,16002,245
0,13,5,5,8,16009,220
1,16,12,9,15,18106,186
1,35,6,2,9,16501,221
0,14,3,8,3,15505,227
1,35,5,5,3,16195,244
1,18,14,5,12,20294,230
